"Plot Title: Site ATM, ID 1, 22332694"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332694, SEN S/N: 22332694)","Temp, °C (LGR S/N: 22332694, SEN S/N: 22332694)","Coupler Detached (LGR S/N: 22332694)","Coupler Attached (LGR S/N: 22332694)","Stopped (LGR S/N: 22332694)","End Of File (LGR S/N: 22332694)"
1,02/26/27 11:00:00 AM,94.065,3.155,Logged,,,
2,02/26/27 12:00:00 PM,94.091,3.683,,,,
3,02/26/27 01:00:00 PM,94.037,4.311,,,,
4,02/26/27 02:00:00 PM,93.984,4.102,,,,
5,02/26/27 03:00:00 PM,93.970,4.207,,,,
6,02/26/27 04:00:00 PM,93.893,4.519,,,,
7,02/26/27 05:00:00 PM,93.882,3.049,,,,
8,02/26/27 06:00:00 PM,93.927,1.872,,,,
9,02/26/27 07:00:00 PM,93.959,1.872,,,,
10,02/26/27 08:00:00 PM,94.008,2.730,,,,
11,02/26/27 09:00:00 PM,94.040,1.764,,,,
12,02/26/27 10:00:00 PM,94.068,2.410,,,,
13,02/26/27 11:00:00 PM,94.029,2.088,,,,
14,02/27/27 12:00:00 AM,94.073,1.764,,,,
15,02/27/27 01:00:00 AM,94.078,2.088,,,,
16,02/27/27 02:00:00 AM,94.069,1.548,,,,
17,02/27/27 03:00:00 AM,94.044,1.112,,,,
18,02/27/27 04:00:00 AM,94.050,1.439,,,,
19,02/27/27 05:00:00 AM,94.032,1.330,,,,
20,02/27/27 06:00:00 AM,94.076,0.121,,,,
21,02/27/27 07:00:00 AM,94.078,0.232,,,,
22,02/27/27 08:00:00 AM,94.072,-0.102,,,,
23,02/27/27 09:00:00 AM,94.071,1.656,,,,
24,02/27/27 10:00:00 AM,94.027,3.788,,,,
25,02/27/27 11:00:00 AM,94.033,4.934,,,,
26,02/27/27 12:00:00 PM,94.024,5.347,,,,
27,02/27/27 01:00:00 PM,94.005,6.064,,,,
28,02/27/27 02:00:00 PM,93.988,6.064,,,,
29,02/27/27 03:00:00 PM,93.952,5.860,,,,
30,02/27/27 04:00:00 PM,93.913,5.552,,,,
31,02/27/27 04:43:55 PM,,,,Logged,,
32,02/27/27 04:43:57 PM,,,,,Logged,Logged
