"Plot Title: Site ATM, ID 1, 22332694"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332694, SEN S/N: 22332694)","Temp, °C (LGR S/N: 22332694, SEN S/N: 22332694)"
1,03/11/27 02:00:00 PM,93.750,0.998
2,03/11/27 03:00:00 PM,93.848,1.044
3,03/11/27 04:00:00 PM,93.689,0.928
4,03/11/27 05:00:00 PM,93.698,0.820
5,03/11/27 06:00:00 PM,93.452,0.840
6,03/11/27 07:00:00 PM,93.550,0.635
7,03/11/27 08:00:00 PM,93.355,0.817
8,03/11/27 09:00:00 PM,93.301,0.704
9,03/11/27 10:00:00 PM,93.287,0.830
10,03/11/27 11:00:00 PM,93.255,0.969
11,03/12/27 12:00:00 AM,93.445,3.140
12,03/12/27 01:00:00 AM,93.605,2.807
13,03/12/27 02:00:00 AM,93.784,2.000
14,03/12/27 03:00:00 AM,93.853,2.517
15,03/12/27 04:00:00 AM,93.923,2.365
16,03/12/27 05:00:00 AM,93.935,1.643
17,03/12/27 06:00:00 AM,94.094,2.043
18,03/12/27 07:00:00 AM,94.276,1.604
19,03/12/27 08:00:00 AM,94.264,1.463
20,03/12/27 09:00:00 AM,94.440,1.407
21,03/12/27 10:00:00 AM,94.525,1.018
22,03/12/27 11:00:00 AM,94.524,0.967
23,03/12/27 12:00:00 PM,94.410,1.121
24,03/12/27 01:00:00 PM,94.278,1.701
25,03/12/27 02:00:00 PM,94.353,1.597
26,03/12/27 03:00:00 PM,94.326,1.361
27,03/12/27 04:00:00 PM,94.203,1.702
28,03/12/27 05:00:00 PM,94.294,1.488
29,03/12/27 06:00:00 PM,94.139,1.196
30,03/12/27 07:00:00 PM,94.056,0.827
31,03/12/27 08:00:00 PM,94.105,1.166
32,03/12/27 09:00:00 PM,93.949,0.717
33,03/12/27 10:00:00 PM,94.115,1.121
34,03/12/27 11:00:00 PM,93.939,0.847
35,03/13/27 12:00:00 AM,93.898,0.829
36,03/13/27 01:00:00 AM,93.901,0.936
37,03/13/27 02:00:00 AM,93.969,0.898
38,03/13/27 03:00:00 AM,93.820,0.534
39,03/13/27 04:00:00 AM,93.896,0.540
40,03/13/27 05:00:00 AM,93.819,0.848
41,03/13/27 06:00:00 AM,93.843,0.639
42,03/13/27 07:00:00 AM,93.706,0.875
43,03/13/27 08:00:00 AM,93.736,0.681
44,03/13/27 09:00:00 AM,93.810,0.967
45,03/13/27 10:00:00 AM,93.735,0.724
46,03/13/27 11:00:00 AM,93.698,0.649
47,03/13/27 12:00:00 PM,93.853,0.806
48,03/13/27 01:00:00 PM,93.840,0.769
49,03/13/27 02:00:00 PM,93.663,0.767
50,03/13/27 03:00:00 PM,93.616,0.753
51,03/13/27 04:00:00 PM,93.598,0.905
52,03/13/27 05:00:00 PM,93.460,0.760
53,03/13/27 06:00:00 PM,93.524,0.957
54,03/13/27 07:00:00 PM,93.488,0.819
55,03/13/27 08:00:00 PM,93.369,0.717
56,03/13/27 09:00:00 PM,93.285,0.904
57,03/13/27 10:00:00 PM,93.258,1.040
58,03/13/27 11:00:00 PM,93.255,0.459
59,03/14/27 12:00:00 AM,93.241,0.977
60,03/14/27 01:00:00 AM,93.265,0.745
61,03/14/27 02:00:00 AM,93.253,0.981
62,03/14/27 03:00:00 AM,93.369,1.025
63,03/14/27 04:00:00 AM,93.300,0.495
64,03/14/27 05:00:00 AM,93.551,0.491
65,03/14/27 06:00:00 AM,93.619,0.481
66,03/14/27 07:00:00 AM,93.634,-0.199
67,03/14/27 08:00:00 AM,93.571,-0.154
68,03/14/27 09:00:00 AM,93.618,0.128
69,03/14/27 10:00:00 AM,93.716,0.253
70,03/14/27 11:00:00 AM,93.758,0.581
71,03/14/27 12:00:00 PM,94.351,1.278
72,03/14/27 01:00:00 PM,94.265,1.653
73,03/14/27 02:00:00 PM,94.333,1.668
74,03/14/27 03:00:00 PM,94.645,1.274
75,03/14/27 04:00:00 PM,94.646,1.362
76,03/14/27 05:00:00 PM,94.751,0.715
77,03/14/27 06:00:00 PM,94.841,0.290
78,03/14/27 07:00:00 PM,94.688,-0.648
79,03/14/27 08:00:00 PM,95.011,-1.515
80,03/14/27 09:00:00 PM,94.924,-2.403
81,03/14/27 10:00:00 PM,95.173,-2.325
82,03/14/27 11:00:00 PM,95.295,-3.020
83,03/15/27 12:00:00 AM,95.075,-3.335
84,03/15/27 01:00:00 AM,95.039,-3.256
85,03/15/27 02:00:00 AM,95.195,-3.115
86,03/15/27 03:00:00 AM,95.112,-3.222
87,03/15/27 04:00:00 AM,95.093,-3.299
88,03/15/27 05:00:00 AM,95.070,-3.211
89,03/15/27 06:00:00 AM,95.010,-3.428
90,03/15/27 07:00:00 AM,95.229,-2.922
91,03/15/27 08:00:00 AM,95.399,-2.697
92,03/15/27 09:00:00 AM,95.832,-2.049
93,03/15/27 10:00:00 AM,96.079,-0.758
94,03/15/27 11:00:00 AM,96.687,0.494
95,03/15/27 12:00:00 PM,94.889,1.531
96,03/15/27 01:00:00 PM,94.953,1.731
97,03/15/27 02:00:00 PM,94.969,1.464
98,03/15/27 03:00:00 PM,94.809,1.338
99,03/15/27 04:00:00 PM,94.942,1.152
100,03/15/27 05:00:00 PM,94.718,1.047
101,03/15/27 06:00:00 PM,94.665,0.772
102,03/15/27 07:00:00 PM,94.783,0.863
103,03/15/27 08:00:00 PM,94.745,0.775
104,03/15/27 09:00:00 PM,94.537,0.837
105,03/15/27 10:00:00 PM,94.555,0.604
106,03/15/27 11:00:00 PM,94.544,0.889
107,03/16/27 12:00:00 AM,94.330,0.712
108,03/16/27 01:00:00 AM,94.323,0.894
109,03/16/27 02:00:00 AM,94.297,0.740
110,03/16/27 03:00:00 AM,94.321,0.853
111,03/16/27 04:00:00 AM,94.106,1.216
112,03/16/27 05:00:00 AM,94.113,0.825
113,03/16/27 06:00:00 AM,94.187,0.764
114,03/16/27 07:00:00 AM,94.314,0.771
115,03/16/27 08:00:00 AM,94.098,1.225
116,03/16/27 09:00:00 AM,94.276,1.499
117,03/16/27 10:00:00 AM,94.262,2.061
118,03/16/27 11:00:00 AM,94.148,2.832
119,03/16/27 12:00:00 PM,94.114,6.266
120,03/16/27 01:00:00 PM,94.026,3.510
121,03/16/27 02:00:00 PM,94.027,3.856
122,03/16/27 03:00:00 PM,93.825,3.565
123,03/16/27 04:00:00 PM,93.989,3.502
124,03/16/27 05:00:00 PM,93.810,2.277
125,03/16/27 06:00:00 PM,93.774,1.805
126,03/16/27 07:00:00 PM,93.719,1.297
127,03/16/27 08:00:00 PM,93.755,1.075
128,03/16/27 09:00:00 PM,93.866,1.034
129,03/16/27 10:00:00 PM,93.871,1.306
130,03/16/27 11:00:00 PM,93.716,1.526
131,03/17/27 12:00:00 AM,93.758,1.337
