"Plot Title: Site 1, ID 2, 22332695"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332695, SEN S/N: 22332695)","Temp, °C (LGR S/N: 22332695, SEN S/N: 22332695)","Coupler Detached (LGR S/N: 22332695)","Coupler Attached (LGR S/N: 22332695)","Stopped (LGR S/N: 22332695)","End Of File (LGR S/N: 22332695)"
1,02/26/26 11:00:00 AM,100.126,4.623,Logged,,,
2,02/26/26 12:00:00 PM,100.174,4.727,,,,
3,02/26/26 01:00:00 PM,100.128,4.727,,,,
4,02/26/26 02:00:00 PM,100.066,4.727,,,,
5,02/26/26 03:00:00 PM,100.066,4.727,,,,
6,02/26/26 04:00:00 PM,99.989,4.727,,,,
7,02/26/26 05:00:00 PM,100.005,4.727,,,,
8,02/26/26 06:00:00 PM,100.035,4.727,,,,
9,02/26/26 07:00:00 PM,100.051,4.727,,,,
10,02/26/26 08:00:00 PM,100.097,4.727,,,,
11,02/26/26 09:00:00 PM,100.159,4.727,,,,
12,02/26/26 10:00:00 PM,100.159,4.727,,,,
13,02/26/26 11:00:00 PM,100.143,4.727,,,,
14,02/27/26 12:00:00 AM,100.159,4.727,,,,
15,02/27/26 01:00:00 AM,100.189,4.727,,,,
16,02/27/26 02:00:00 AM,100.205,4.727,,,,
17,02/27/26 03:00:00 AM,100.143,4.727,,,,
18,02/27/26 04:00:00 AM,100.143,4.727,,,,
19,02/27/26 05:00:00 AM,100.143,4.727,,,,
20,02/27/26 06:00:00 AM,100.205,4.727,,,,
21,02/27/26 07:00:00 AM,100.220,4.727,,,,
22,02/27/26 08:00:00 AM,100.205,4.727,,,,
23,02/27/26 09:00:00 AM,100.205,4.727,,,,
24,02/27/26 10:00:00 AM,100.189,4.727,,,,
25,02/27/26 11:00:00 AM,100.189,4.727,,,,
26,02/27/26 12:00:00 PM,100.189,4.727,,,,
27,02/27/26 01:00:00 PM,100.159,4.727,,,,
28,02/27/26 02:00:00 PM,100.159,4.727,,,,
29,02/27/26 03:00:00 PM,100.128,4.727,,,,
30,02/27/26 04:00:00 PM,100.082,4.727,,,,
31,02/27/26 04:56:52 PM,,,,Logged,,
32,02/27/26 04:56:54 PM,,,,,Logged,Logged
