"Plot Title: Site 2, ID 3,22332696"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332696, SEN S/N: 22332696)","Temp, °C (LGR S/N: 22332696, SEN S/N: 22332696)","Coupler Detached (LGR S/N: 22332696)","Coupler Attached (LGR S/N: 22332696)","Stopped (LGR S/N: 22332696)","End Of File (LGR S/N: 22332696)"
1,02/26/26 11:00:00 AM,98.131,3.472,Logged,,,
2,02/26/26 12:00:00 PM,98.082,3.472,,,,
3,02/26/26 01:00:00 PM,98.034,3.472,,,,
4,02/26/26 02:00:00 PM,97.970,3.472,,,,
5,02/26/26 03:00:00 PM,97.970,3.472,,,,
6,02/26/26 04:00:00 PM,97.905,3.472,,,,
7,02/26/26 05:00:00 PM,97.905,3.472,,,,
8,02/26/26 06:00:00 PM,97.938,3.472,,,,
9,02/26/26 07:00:00 PM,97.970,3.472,,,,
10,02/26/26 08:00:00 PM,98.002,3.472,,,,
11,02/26/26 09:00:00 PM,98.050,3.472,,,,
12,02/26/26 10:00:00 PM,98.082,3.472,,,,
13,02/26/26 11:00:00 PM,98.050,3.472,,,,
14,02/27/26 12:00:00 AM,98.066,3.472,,,,
15,02/27/26 01:00:00 AM,98.082,3.472,,,,
16,02/27/26 02:00:00 AM,98.082,3.472,,,,
17,02/27/26 03:00:00 AM,98.018,3.472,,,,
18,02/27/26 04:00:00 AM,98.018,3.472,,,,
19,02/27/26 05:00:00 AM,98.034,3.472,,,,
20,02/27/26 06:00:00 AM,98.066,3.472,,,,
21,02/27/26 07:00:00 AM,98.066,3.472,,,,
22,02/27/26 08:00:00 AM,98.082,3.472,,,,
23,02/27/26 09:00:00 AM,98.066,3.472,,,,
24,02/27/26 10:00:00 AM,98.034,3.472,,,,
25,02/27/26 11:00:00 AM,98.034,3.472,,,,
26,02/27/26 12:00:00 PM,98.018,3.472,,,,
27,02/27/26 01:00:00 PM,98.002,3.472,,,,
28,02/27/26 02:00:00 PM,98.002,3.472,,,,
29,02/27/26 03:00:00 PM,97.970,3.472,,,,
30,02/27/26 04:00:00 PM,97.938,3.472,,,,
31,02/27/26 04:47:53 PM,,,,Logged,,
32,02/27/26 04:47:54 PM,,,,,Logged,Logged
