"Plot Title: Site 2, ID 3,22332696"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332696, SEN S/N: 22332696)","Temp, °C (LGR S/N: 22332696, SEN S/N: 22332696)","Coupler Detached (LGR S/N: 22332696)","Coupler Attached (LGR S/N: 22332696)","Stopped (LGR S/N: 22332696)","End Of File (LGR S/N: 22332696)"
1,02/27/26 05:00:00 PM,97.859,3.578,Logged,,,
2,02/27/26 06:00:00 PM,97.889,3.472,,,,
3,02/27/26 07:00:00 PM,97.889,3.472,,,,
4,02/27/26 08:00:00 PM,97.905,3.472,,,,
5,02/27/26 09:00:00 PM,97.905,3.472,,,,
6,02/27/26 10:00:00 PM,97.905,3.472,,,,
7,02/27/26 11:00:00 PM,97.921,3.472,,,,
8,02/28/26 12:00:00 AM,97.921,3.472,,,,
9,02/28/26 01:00:00 AM,97.938,3.472,,,,
10,02/28/26 02:00:00 AM,97.938,3.472,,,,
11,02/28/26 03:00:00 AM,97.921,3.472,,,,
12,02/28/26 04:00:00 AM,97.841,3.472,,,,
13,02/28/26 05:00:00 AM,97.793,3.472,,,,
14,02/28/26 06:00:00 AM,97.809,3.472,,,,
15,02/28/26 07:00:00 AM,97.825,3.472,,,,
16,02/28/26 08:00:00 AM,97.841,3.472,,,,
17,02/28/26 09:00:00 AM,97.905,3.472,,,,
18,02/28/26 10:00:00 AM,97.857,3.472,,,,
19,02/28/26 11:00:00 AM,97.841,3.472,,,,
20,02/28/26 12:00:00 PM,97.793,3.472,,,,
21,02/28/26 01:00:00 PM,97.680,3.472,,,,
22,02/28/26 02:00:00 PM,97.632,3.472,,,,
23,02/28/26 03:00:00 PM,97.551,3.472,,,,
24,02/28/26 04:00:00 PM,97.535,3.472,,,,
25,02/28/26 05:00:00 PM,97.551,3.472,,,,
26,02/28/26 06:00:00 PM,97.583,3.472,,,,
27,02/28/26 07:00:00 PM,97.648,3.472,,,,
28,02/28/26 08:00:00 PM,97.648,3.472,,,,
29,02/28/26 09:00:00 PM,97.680,3.472,,,,
30,02/28/26 10:00:00 PM,97.696,3.472,,,,
31,02/28/26 11:00:00 PM,97.696,3.472,,,,
32,03/01/26 12:00:00 AM,97.728,3.472,,,,
33,03/01/26 01:00:00 AM,97.712,3.472,,,,
34,03/01/26 02:00:00 AM,97.696,3.472,,,,
35,03/01/26 03:00:00 AM,97.664,3.472,,,,
36,03/01/26 04:00:00 AM,97.680,3.472,,,,
37,03/01/26 05:00:00 AM,97.728,3.472,,,,
38,03/01/26 06:00:00 AM,97.728,3.472,,,,
39,03/01/26 07:00:00 AM,97.712,3.472,,,,
40,03/01/26 08:00:00 AM,97.728,3.472,,,,
41,03/01/26 09:00:00 AM,97.712,3.472,,,,
42,03/01/26 10:00:00 AM,97.712,3.472,,,,
43,03/01/26 11:00:00 AM,97.680,3.472,,,,
44,03/01/26 12:00:00 PM,97.664,3.472,,,,
45,03/01/26 01:00:00 PM,97.583,3.472,,,,
46,03/01/26 02:00:00 PM,97.535,3.472,,,,
47,03/01/26 03:00:00 PM,97.519,3.472,,,,
48,03/01/26 04:00:00 PM,97.519,3.472,,,,
49,03/01/26 05:00:00 PM,97.519,3.472,,,,
50,03/01/26 06:00:00 PM,97.551,3.472,,,,
51,03/01/26 07:00:00 PM,97.583,3.472,,,,
52,03/01/26 08:00:00 PM,97.599,3.472,,,,
53,03/01/26 09:00:00 PM,97.632,3.472,,,,
54,03/01/26 10:00:00 PM,97.632,3.472,,,,
55,03/01/26 11:00:00 PM,97.632,3.472,,,,
56,03/02/26 12:00:00 AM,97.599,3.472,,,,
57,03/02/26 01:00:00 AM,97.567,3.472,,,,
58,03/02/26 02:00:00 AM,97.599,3.472,,,,
59,03/02/26 03:00:00 AM,97.551,3.472,,,,
60,03/02/26 04:00:00 AM,97.535,3.472,,,,
61,03/02/26 05:00:00 AM,97.551,3.472,,,,
62,03/02/26 06:00:00 AM,97.567,3.472,,,,
63,03/02/26 07:00:00 AM,97.599,3.472,,,,
64,03/02/26 08:00:00 AM,97.632,3.472,,,,
65,03/02/26 09:00:00 AM,97.648,3.472,,,,
66,03/02/26 10:00:00 AM,97.632,3.472,,,,
67,03/02/26 11:00:00 AM,97.599,3.472,,,,
68,03/02/26 12:00:00 PM,97.583,3.472,,,,
69,03/02/26 01:00:00 PM,97.519,3.472,,,,
70,03/02/26 02:00:00 PM,97.487,3.472,,,,
71,03/02/26 03:00:00 PM,97.454,3.472,,,,
72,03/02/26 04:00:00 PM,97.471,3.472,,,,
73,03/02/26 05:00:00 PM,97.503,3.472,,,,
74,03/02/26 06:00:00 PM,97.535,3.472,,,,
75,03/02/26 07:00:00 PM,97.599,3.472,,,,
76,03/02/26 08:00:00 PM,97.632,3.472,,,,
77,03/02/26 09:00:00 PM,97.664,3.472,,,,
78,03/02/26 10:00:00 PM,97.664,3.472,,,,
79,03/02/26 11:00:00 PM,97.696,3.472,,,,
80,03/03/26 12:00:00 AM,97.696,3.472,,,,
81,03/03/26 01:00:00 AM,97.712,3.472,,,,
82,03/03/26 02:00:00 AM,97.744,3.472,,,,
83,03/03/26 03:00:00 AM,97.648,3.472,,,,
84,03/03/26 04:00:00 AM,97.599,3.472,,,,
85,03/03/26 05:00:00 AM,97.599,3.472,,,,
86,03/03/26 06:00:00 AM,97.599,3.472,,,,
87,03/03/26 07:00:00 AM,97.567,3.472,,,,
88,03/03/26 08:00:00 AM,97.615,3.472,,,,
89,03/03/26 09:00:00 AM,97.567,3.472,,,,
90,03/03/26 10:00:00 AM,97.551,3.472,,,,
91,03/03/26 11:00:00 AM,97.519,3.472,,,,
92,03/03/26 12:00:00 PM,97.454,3.472,,,,
93,03/03/26 01:00:00 PM,97.374,3.472,,,,
94,03/03/26 02:00:00 PM,97.342,3.472,,,,
95,03/03/26 03:00:00 PM,97.326,3.472,,,,
96,03/03/26 04:00:00 PM,97.310,3.472,,,,
97,03/03/26 05:00:00 PM,97.326,3.472,,,,
98,03/03/26 06:00:00 PM,97.342,3.472,,,,
99,03/03/26 07:00:00 PM,97.342,3.472,,,,
100,03/03/26 08:00:00 PM,97.293,3.472,,,,
101,03/03/26 09:00:00 PM,97.277,3.472,,,,
102,03/03/26 10:00:00 PM,97.261,3.472,,,,
103,03/03/26 11:00:00 PM,97.245,3.472,,,,
104,03/04/26 12:00:00 AM,97.181,3.472,,,,
105,03/04/26 01:00:00 AM,97.149,3.472,,,,
106,03/04/26 02:00:00 AM,97.084,3.472,,,,
107,03/04/26 03:00:00 AM,96.988,3.472,,,,
108,03/04/26 04:00:00 AM,96.939,3.472,,,,
109,03/04/26 05:00:00 AM,96.859,3.472,,,,
