"Plot Title: Site 2, ID 3,22332696"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332696, SEN S/N: 22332696)","Temp, °C (LGR S/N: 22332696, SEN S/N: 22332696)"
1,03/11/26 01:00:00 PM,97.893,3.683
2,03/11/26 02:00:00 PM,97.797,3.683
3,03/11/26 03:00:00 PM,97.765,3.683
4,03/11/26 04:00:00 PM,97.684,3.683
5,03/11/26 05:00:00 PM,97.636,3.683
6,03/11/26 06:00:00 PM,97.571,3.683
7,03/11/26 07:00:00 PM,97.491,3.683
8,03/11/26 08:00:00 PM,97.475,3.683
9,03/11/26 09:00:00 PM,97.426,3.683
10,03/11/26 10:00:00 PM,97.507,3.683
11,03/11/26 11:00:00 PM,97.638,3.788
12,03/12/26 12:00:00 AM,97.912,3.788
13,03/12/26 01:00:00 AM,98.330,3.788
14,03/12/26 02:00:00 AM,98.701,3.788
15,03/12/26 03:00:00 AM,98.926,3.788
16,03/12/26 04:00:00 AM,99.265,3.788
17,03/12/26 05:00:00 AM,99.474,3.788
18,03/12/26 06:00:00 AM,99.684,3.788
19,03/12/26 07:00:00 AM,99.861,3.788
20,03/12/26 08:00:00 AM,100.022,3.788
21,03/12/26 09:00:00 AM,100.151,3.788
22,03/12/26 10:00:00 AM,100.167,3.788
23,03/12/26 11:00:00 AM,100.216,3.788
24,03/12/26 12:00:00 PM,100.184,3.788
25,03/12/26 01:00:00 PM,100.103,3.788
26,03/12/26 02:00:00 PM,100.055,3.788
27,03/12/26 03:00:00 PM,100.055,3.788
28,03/12/26 04:00:00 PM,100.039,3.788
29,03/12/26 05:00:00 PM,99.958,3.788
30,03/12/26 06:00:00 PM,99.893,3.788
31,03/12/26 07:00:00 PM,99.877,3.788
32,03/12/26 08:00:00 PM,99.829,3.788
33,03/12/26 09:00:00 PM,99.797,3.788
34,03/12/26 10:00:00 PM,99.781,3.788
35,03/12/26 11:00:00 PM,99.716,3.788
36,03/13/26 12:00:00 AM,99.668,3.788
37,03/13/26 01:00:00 AM,99.619,3.788
38,03/13/26 02:00:00 AM,99.619,3.788
39,03/13/26 03:00:00 AM,99.571,3.788
40,03/13/26 04:00:00 AM,99.555,3.788
41,03/13/26 05:00:00 AM,99.555,3.788
42,03/13/26 06:00:00 AM,99.539,3.788
43,03/13/26 07:00:00 AM,99.571,3.788
44,03/13/26 08:00:00 AM,99.569,3.683
45,03/13/26 09:00:00 AM,99.569,3.683
46,03/13/26 10:00:00 AM,99.569,3.683
47,03/13/26 11:00:00 AM,99.569,3.683
48,03/13/26 12:00:00 PM,99.537,3.683
49,03/13/26 01:00:00 PM,99.504,3.683
50,03/13/26 02:00:00 PM,99.456,3.683
51,03/13/26 03:00:00 PM,99.440,3.683
52,03/13/26 04:00:00 PM,99.408,3.683
53,03/13/26 05:00:00 PM,99.376,3.683
54,03/13/26 06:00:00 PM,99.376,3.683
55,03/13/26 07:00:00 PM,99.408,3.683
56,03/13/26 08:00:00 PM,99.424,3.683
57,03/13/26 09:00:00 PM,99.408,3.683
58,03/13/26 10:00:00 PM,99.392,3.683
59,03/13/26 11:00:00 PM,99.359,3.683
