"Plot Title: Site3a, ID 4, 22332697"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332697, SEN S/N: 22332697)","Temp, °C (LGR S/N: 22332697, SEN S/N: 22332697)","Coupler Detached (LGR S/N: 22332697)","Coupler Attached (LGR S/N: 22332697)","Stopped (LGR S/N: 22332697)","End Of File (LGR S/N: 22332697)"
1,02/27/27 05:00:00 PM,105.449,5.426,Logged,,,
2,02/27/27 06:00:00 PM,105.401,5.290,,,,
3,02/27/27 07:00:00 PM,105.719,5.406,,,,
4,02/27/27 08:00:00 PM,105.613,5.186,,,,
5,02/27/27 09:00:00 PM,105.613,5.301,,,,
6,02/27/27 10:00:00 PM,105.548,5.327,,,,
7,02/27/27 11:00:00 PM,105.608,5.390,,,,
8,02/28/27 12:00:00 AM,105.650,5.221,,,,
9,02/28/27 01:00:00 AM,105.680,5.315,,,,
10,02/28/27 02:00:00 AM,105.687,5.335,,,,
11,02/28/27 03:00:00 AM,105.766,5.195,,,,
12,02/28/27 04:00:00 AM,105.490,5.374,,,,
13,02/28/27 05:00:00 AM,105.612,5.191,,,,
14,02/28/27 06:00:00 AM,105.405,5.349,,,,
15,02/28/27 07:00:00 AM,105.590,5.247,,,,
16,02/28/27 08:00:00 AM,105.504,5.063,,,,
17,02/28/27 09:00:00 AM,105.812,5.191,,,,
18,02/28/27 10:00:00 AM,105.578,5.547,,,,
19,02/28/27 11:00:00 AM,105.610,5.417,,,,
20,02/28/27 12:00:00 PM,105.773,5.398,,,,
21,02/28/27 01:00:00 PM,105.438,5.173,,,,
22,02/28/27 02:00:00 PM,105.281,5.598,,,,
23,02/28/27 03:00:00 PM,105.428,5.538,,,,
24,02/28/27 04:00:00 PM,105.233,5.328,,,,
25,02/28/27 05:00:00 PM,105.291,5.467,,,,
26,02/28/27 06:00:00 PM,105.392,5.320,,,,
27,02/28/27 07:00:00 PM,105.297,5.298,,,,
28,02/28/27 08:00:00 PM,105.370,5.267,,,,
29,02/28/27 09:00:00 PM,105.477,5.237,,,,
30,02/28/27 10:00:00 PM,105.563,5.141,,,,
31,02/28/27 11:00:00 PM,105.450,5.532,,,,
32,03/01/27 12:00:00 AM,105.607,5.688,,,,
33,03/01/27 01:00:00 AM,105.539,5.205,,,,
34,03/01/27 02:00:00 AM,105.547,5.302,,,,
35,03/01/27 03:00:00 AM,105.477,5.286,,,,
36,03/01/27 04:00:00 AM,105.342,5.424,,,,
37,03/01/27 05:00:00 AM,105.563,5.393,,,,
38,03/01/27 06:00:00 AM,105.352,5.463,,,,
39,03/01/27 07:00:00 AM,105.552,5.424,,,,
40,03/01/27 08:00:00 AM,105.710,5.316,,,,
41,03/01/27 09:00:00 AM,105.535,5.269,,,,
42,03/01/27 10:00:00 AM,105.428,5.288,,,,
43,03/01/27 11:00:00 AM,105.578,4.963,,,,
44,03/01/27 12:00:00 PM,105.532,5.159,,,,
45,03/01/27 01:00:00 PM,105.307,5.369,,,,
46,03/01/27 02:00:00 PM,105.348,5.293,,,,
47,03/01/27 03:00:00 PM,105.223,5.250,,,,
48,03/01/27 04:00:00 PM,105.238,5.178,,,,
49,03/01/27 05:00:00 PM,105.336,5.393,,,,
50,03/01/27 06:00:00 PM,105.555,5.272,,,,
51,03/01/27 07:00:00 PM,105.476,5.219,,,,
52,03/01/27 08:00:00 PM,105.371,5.374,,,,
53,03/01/27 09:00:00 PM,105.436,5.044,,,,
54,03/01/27 10:00:00 PM,105.322,5.202,,,,
55,03/01/27 11:00:00 PM,105.401,5.505,,,,
56,03/02/27 12:00:00 AM,105.306,5.017,,,,
57,03/02/27 01:00:00 AM,105.439,5.019,,,,
58,03/02/27 02:00:00 AM,105.462,5.245,,,,
59,03/02/27 03:00:00 AM,105.266,5.455,,,,
60,03/02/27 04:00:00 AM,105.137,5.242,,,,
61,03/02/27 05:00:00 AM,105.231,5.216,,,,
62,03/02/27 06:00:00 AM,105.303,5.440,,,,
63,03/02/27 07:00:00 AM,105.434,5.365,,,,
64,03/02/27 08:00:00 AM,105.458,5.174,,,,
65,03/02/27 09:00:00 AM,105.503,5.411,,,,
66,03/02/27 10:00:00 AM,105.430,5.182,,,,
67,03/02/27 11:00:00 AM,105.237,5.063,,,,
68,03/02/27 12:00:00 PM,105.251,5.046,,,,
69,03/02/27 01:00:00 PM,105.269,5.130,,,,
70,03/02/27 02:00:00 PM,105.221,5.331,,,,
71,03/02/27 03:00:00 PM,105.172,5.304,,,,
72,03/02/27 04:00:00 PM,105.338,5.384,,,,
73,03/02/27 05:00:00 PM,105.175,5.233,,,,
74,03/02/27 06:00:00 PM,105.155,5.277,,,,
75,03/02/27 07:00:00 PM,105.409,5.177,,,,
76,03/02/27 08:00:00 PM,105.394,5.238,,,,
77,03/02/27 09:00:00 PM,105.465,5.111,,,,
78,03/02/27 10:00:00 PM,105.393,5.220,,,,
79,03/02/27 11:00:00 PM,105.318,5.230,,,,
80,03/03/27 12:00:00 AM,105.438,5.286,,,,
81,03/03/27 01:00:00 AM,105.472,5.337,,,,
82,03/03/27 02:00:00 AM,105.422,5.323,,,,
83,03/03/27 03:00:00 AM,105.324,4.974,,,,
84,03/03/27 04:00:00 AM,105.350,5.363,,,,
85,03/03/27 05:00:00 AM,105.399,5.673,,,,
86,03/03/27 06:00:00 AM,105.316,5.148,,,,
87,03/03/27 07:00:00 AM,105.185,5.409,,,,
88,03/03/27 08:00:00 AM,105.340,5.439,,,,
89,03/03/27 09:00:00 AM,105.362,5.678,,,,
90,03/03/27 10:00:00 AM,105.170,5.114,,,,
91,03/03/27 11:00:00 AM,105.281,5.327,,,,
92,03/03/27 12:00:00 PM,105.244,5.164,,,,
93,03/03/27 01:00:00 PM,105.066,5.240,,,,
94,03/03/27 02:00:00 PM,105.163,5.233,,,,
95,03/03/27 03:00:00 PM,105.233,5.329,,,,
96,03/03/27 04:00:00 PM,105.095,5.485,,,,
97,03/03/27 05:00:00 PM,105.165,5.291,,,,
98,03/03/27 06:00:00 PM,105.049,5.383,,,,
99,03/03/27 07:00:00 PM,105.119,5.096,,,,
100,03/03/27 08:00:00 PM,104.900,5.398,,,,
101,03/03/27 09:00:00 PM,105.014,5.326,,,,
102,03/03/27 10:00:00 PM,104.967,5.245,,,,
103,03/03/27 11:00:00 PM,104.937,5.070,,,,
104,03/04/27 12:00:00 AM,105.068,5.484,,,,
105,03/04/27 01:00:00 AM,104.936,5.591,,,,
106,03/04/27 02:00:00 AM,104.675,5.249,,,,
107,03/04/27 03:00:00 AM,104.709,5.105,,,,
108,03/04/27 04:00:00 AM,104.697,4.983,,,,
109,03/04/27 05:00:00 AM,104.526,5.511,,,,
110,03/04/27 06:00:00 AM,104.622,5.575,,,,
111,03/04/27 07:00:00 AM,104.574,5.192,,,,
112,03/04/27 08:00:00 AM,104.501,5.210,,,,
113,03/04/27 09:00:00 AM,104.593,5.033,,,,
114,03/04/27 10:00:00 AM,104.558,4.906,,,,
115,03/04/27 11:00:00 AM,104.557,5.061,,,,
116,03/04/27 12:00:00 PM,104.455,5.311,,,,
117,03/04/27 01:00:00 PM,104.500,5.168,,,,
118,03/04/27 02:00:00 PM,104.574,5.194,,,,
119,03/04/27 03:00:00 PM,104.715,5.293,,,,
120,03/04/27 04:00:00 PM,104.634,5.283,,,,
121,03/04/27 05:00:00 PM,104.735,5.084,,,,
122,03/04/27 06:00:00 PM,104.841,5.317,,,,
123,03/04/27 07:00:00 PM,104.872,5.088,,,,
124,03/04/27 08:00:00 PM,104.945,5.048,,,,
