"Plot Title: Site3a, ID 4, 22332697"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332697, SEN S/N: 22332697)","Temp, °C (LGR S/N: 22332697, SEN S/N: 22332697)"
1,03/11/27 01:00:00 PM,104.421,4.727
2,03/11/27 02:00:00 PM,104.253,4.311
3,03/11/27 03:00:00 PM,104.340,4.727
4,03/11/27 04:00:00 PM,104.276,4.727
5,03/11/27 05:00:00 PM,104.229,4.831
6,03/11/27 06:00:00 PM,104.164,4.831
7,03/11/27 07:00:00 PM,104.083,4.831
8,03/11/27 08:00:00 PM,104.067,4.831
9,03/11/27 09:00:00 PM,104.002,4.831
10,03/11/27 10:00:00 PM,104.049,4.727
11,03/11/27 11:00:00 PM,104.000,4.727
12,03/12/27 12:00:00 AM,104.421,4.727
13,03/12/27 01:00:00 AM,104.940,4.727
14,03/12/27 02:00:00 AM,105.298,4.831
15,03/12/27 03:00:00 AM,105.621,4.727
16,03/12/27 04:00:00 AM,106.028,4.831
17,03/12/27 05:00:00 AM,106.302,4.727
18,03/12/27 06:00:00 AM,106.497,4.727
19,03/12/27 07:00:00 AM,106.675,4.727
20,03/12/27 08:00:00 AM,106.886,4.727
21,03/12/27 09:00:00 AM,106.999,4.727
22,03/12/27 10:00:00 AM,107.032,4.727
23,03/12/27 11:00:00 AM,107.064,4.727
24,03/12/27 12:00:00 PM,107.032,4.727
25,03/12/27 01:00:00 PM,106.951,4.727
26,03/12/27 02:00:00 PM,106.918,4.727
27,03/12/27 03:00:00 PM,106.951,4.727
28,03/12/27 04:00:00 PM,106.886,4.727
29,03/12/27 05:00:00 PM,106.837,4.727
30,03/12/27 06:00:00 PM,106.772,4.727
31,03/12/27 07:00:00 PM,106.724,4.727
32,03/12/27 08:00:00 PM,106.707,4.727
33,03/12/27 09:00:00 PM,106.691,4.727
34,03/12/27 10:00:00 PM,106.675,4.727
35,03/12/27 11:00:00 PM,106.610,4.727
36,03/13/27 12:00:00 AM,106.545,4.727
37,03/13/27 01:00:00 AM,106.561,4.727
38,03/13/27 02:00:00 AM,106.513,4.727
39,03/13/27 03:00:00 AM,106.464,4.727
40,03/13/27 04:00:00 AM,106.480,4.727
41,03/13/27 05:00:00 AM,106.497,4.727
42,03/13/27 06:00:00 AM,106.513,4.727
43,03/13/27 07:00:00 AM,106.513,4.727
