"Plot Title: Site3b, ID 5, 22332698"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332698, SEN S/N: 22332698)","Temp, °C (LGR S/N: 22332698, SEN S/N: 22332698)","Coupler Detached (LGR S/N: 22332698)","Coupler Attached (LGR S/N: 22332698)","Stopped (LGR S/N: 22332698)","End Of File (LGR S/N: 22332698)"
1,02/26/27 11:00:00 AM,94.135,3.049,Logged,,,
2,02/26/27 12:00:00 PM,94.051,3.788,,,,
3,02/26/27 01:00:00 PM,101.951,4.519,,,,
4,02/26/27 02:00:00 PM,101.888,4.519,,,,
5,02/26/27 03:00:00 PM,101.856,4.519,,,,
6,02/26/27 04:00:00 PM,101.777,4.519,,,,
7,02/26/27 05:00:00 PM,101.777,4.519,,,,
8,02/26/27 06:00:00 PM,101.808,4.519,,,,
9,02/26/27 07:00:00 PM,101.808,4.519,,,,
10,02/26/27 08:00:00 PM,101.856,4.519,,,,
11,02/26/27 09:00:00 PM,101.872,4.519,,,,
12,02/26/27 10:00:00 PM,101.888,4.519,,,,
13,02/26/27 11:00:00 PM,101.888,4.519,,,,
14,02/27/27 12:00:00 AM,101.888,4.519,,,,
15,02/27/27 01:00:00 AM,101.904,4.519,,,,
16,02/27/27 02:00:00 AM,101.888,4.519,,,,
17,02/27/27 03:00:00 AM,101.840,4.519,,,,
18,02/27/27 04:00:00 AM,101.840,4.519,,,,
19,02/27/27 05:00:00 AM,101.824,4.519,,,,
20,02/27/27 06:00:00 AM,101.840,4.519,,,,
21,02/27/27 07:00:00 AM,101.856,4.519,,,,
22,02/27/27 08:00:00 AM,101.856,4.519,,,,
23,02/27/27 09:00:00 AM,101.840,4.519,,,,
24,02/27/27 10:00:00 AM,101.792,4.519,,,,
25,02/27/27 11:00:00 AM,101.824,4.519,,,,
26,02/27/27 12:00:00 PM,101.824,4.519,,,,
27,02/27/27 01:00:00 PM,101.761,4.519,,,,
28,02/27/27 02:00:00 PM,101.761,4.519,,,,
29,02/27/27 03:00:00 PM,101.745,4.519,,,,
30,02/27/27 04:00:00 PM,101.681,4.519,,,,
31,02/27/27 04:30:57 PM,,,,Logged,,
32,02/27/27 04:30:59 PM,,,,,Logged,Logged
