"Plot Title: Site3b, ID 5, 22332698"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332698, SEN S/N: 22332698)","Temp, °C (LGR S/N: 22332698, SEN S/N: 22332698)"
1,03/11/27 01:00:00 PM,101.375,4.415
2,03/11/27 02:00:00 PM,101.232,3.998
3,03/11/27 03:00:00 PM,101.264,4.415
4,03/11/27 04:00:00 PM,101.280,4.415
5,03/11/27 05:00:00 PM,101.264,4.415
6,03/11/27 06:00:00 PM,101.232,4.415
7,03/11/27 07:00:00 PM,101.216,4.415
8,03/11/27 08:00:00 PM,101.184,4.415
9,03/11/27 09:00:00 PM,101.057,4.415
10,03/11/27 10:00:00 PM,100.994,4.415
11,03/11/27 11:00:00 PM,100.994,4.415
12,03/12/27 12:00:00 AM,101.105,4.415
13,03/12/27 01:00:00 AM,101.232,4.415
14,03/12/27 02:00:00 AM,101.375,4.415
15,03/12/27 03:00:00 AM,101.439,4.415
16,03/12/27 04:00:00 AM,101.566,4.415
17,03/12/27 05:00:00 AM,101.773,4.415
18,03/12/27 06:00:00 AM,101.884,4.415
19,03/12/27 07:00:00 AM,102.075,4.415
20,03/12/27 08:00:00 AM,102.281,4.415
21,03/12/27 09:00:00 AM,102.472,4.415
22,03/12/27 10:00:00 AM,102.552,4.415
23,03/12/27 11:00:00 AM,102.775,4.415
24,03/12/27 12:00:00 PM,102.727,4.415
25,03/12/27 01:00:00 PM,102.695,4.415
26,03/12/27 02:00:00 PM,102.695,4.415
27,03/12/27 03:00:00 PM,102.790,4.415
28,03/12/27 04:00:00 PM,102.806,4.415
29,03/12/27 05:00:00 PM,102.806,4.415
30,03/12/27 06:00:00 PM,102.775,4.415
31,03/12/27 07:00:00 PM,102.775,4.415
32,03/12/27 08:00:00 PM,102.775,4.415
33,03/12/27 09:00:00 PM,102.806,4.415
34,03/12/27 10:00:00 PM,102.822,4.415
35,03/12/27 11:00:00 PM,102.806,4.415
36,03/13/27 12:00:00 AM,102.759,4.415
37,03/13/27 01:00:00 AM,102.790,4.415
38,03/13/27 02:00:00 AM,102.759,4.415
39,03/13/27 03:00:00 AM,102.727,4.415
40,03/13/27 04:00:00 AM,102.743,4.415
41,03/13/27 05:00:00 AM,102.759,4.415
42,03/13/27 06:00:00 AM,102.775,4.415
43,03/13/27 07:00:00 AM,102.806,4.415
44,03/13/27 08:00:00 AM,102.838,4.415
45,03/13/27 09:00:00 AM,102.870,4.415
46,03/13/27 10:00:00 AM,102.886,4.415
47,03/13/27 11:00:00 AM,102.934,4.415
48,03/13/27 12:00:00 PM,102.886,4.415
49,03/13/27 01:00:00 PM,102.870,4.415
50,03/13/27 02:00:00 PM,102.870,4.415
51,03/13/27 03:00:00 PM,102.981,4.415
52,03/13/27 04:00:00 PM,103.029,4.415
53,03/13/27 05:00:00 PM,102.965,4.415
54,03/13/27 06:00:00 PM,103.013,4.415
55,03/13/27 07:00:00 PM,102.965,4.415
56,03/13/27 08:00:00 PM,103.045,4.415
57,03/13/27 09:00:00 PM,102.949,4.415
58,03/13/27 10:00:00 PM,102.806,4.415
59,03/13/27 11:00:00 PM,102.806,4.415
60,03/14/27 12:00:00 AM,102.775,4.415
61,03/14/27 01:00:00 AM,102.790,4.415
62,03/14/27 02:00:00 AM,102.775,4.415
63,03/14/27 03:00:00 AM,102.918,4.415
64,03/14/27 04:00:00 AM,103.045,4.415
65,03/14/27 05:00:00 AM,103.156,4.415
66,03/14/27 06:00:00 AM,103.204,4.415
67,03/14/27 07:00:00 AM,103.300,4.415
68,03/14/27 08:00:00 AM,103.443,4.415
69,03/14/27 09:00:00 AM,103.570,4.415
70,03/14/27 10:00:00 AM,103.713,4.415
71,03/14/27 11:00:00 AM,103.872,4.415
72,03/14/27 12:00:00 PM,103.936,4.415
73,03/14/27 01:00:00 PM,104.048,4.415
74,03/14/27 02:00:00 PM,104.063,4.415
75,03/14/27 03:00:00 PM,104.127,4.415
76,03/14/27 04:00:00 PM,104.127,4.415
77,03/14/27 05:00:00 PM,104.207,4.415
78,03/14/27 06:00:00 PM,104.191,4.415
79,03/14/27 07:00:00 PM,104.223,4.415
80,03/14/27 08:00:00 PM,104.334,4.415
81,03/14/27 09:00:00 PM,104.445,4.415
82,03/14/27 10:00:00 PM,104.493,4.415
83,03/14/27 11:00:00 PM,104.589,4.415
84,03/15/27 12:00:00 AM,104.637,4.415
85,03/15/27 01:00:00 AM,104.700,4.415
86,03/15/27 02:00:00 AM,104.716,4.415
87,03/15/27 03:00:00 AM,104.732,4.415
88,03/15/27 04:00:00 AM,104.716,4.415
89,03/15/27 05:00:00 AM,104.748,4.415
90,03/15/27 06:00:00 AM,104.764,4.415
91,03/15/27 07:00:00 AM,104.780,4.415
92,03/15/27 08:00:00 AM,104.843,4.415
93,03/15/27 09:00:00 AM,104.843,4.415
94,03/15/27 10:00:00 AM,104.907,4.415
95,03/15/27 11:00:00 AM,104.987,4.415
96,03/15/27 12:00:00 PM,104.859,4.415
97,03/15/27 01:00:00 PM,104.509,4.415
98,03/15/27 02:00:00 PM,104.461,4.415
99,03/15/27 03:00:00 PM,104.414,4.415
100,03/15/27 04:00:00 PM,104.382,4.415
101,03/15/27 05:00:00 PM,104.302,4.415
102,03/15/27 06:00:00 PM,104.239,4.415
103,03/15/27 07:00:00 PM,104.191,4.415
104,03/15/27 08:00:00 PM,104.143,4.415
105,03/15/27 09:00:00 PM,104.111,4.415
106,03/15/27 10:00:00 PM,104.063,4.415
107,03/15/27 11:00:00 PM,104.016,4.415
108,03/16/27 12:00:00 AM,103.984,4.415
109,03/16/27 01:00:00 AM,103.968,4.415
110,03/16/27 02:00:00 AM,103.936,4.415
111,03/16/27 03:00:00 AM,103.936,4.415
112,03/16/27 04:00:00 AM,103.888,4.415
113,03/16/27 05:00:00 AM,103.857,4.415
114,03/16/27 06:00:00 AM,103.825,4.415
115,03/16/27 07:00:00 AM,103.809,4.415
116,03/16/27 08:00:00 AM,103.825,4.415
117,03/16/27 09:00:00 AM,103.777,4.415
118,03/16/27 10:00:00 AM,103.666,4.415
119,03/16/27 11:00:00 AM,103.602,4.415
120,03/16/27 12:00:00 PM,103.506,4.415
121,03/16/27 01:00:00 PM,103.506,4.415
122,03/16/27 02:00:00 PM,103.443,4.415
123,03/16/27 03:00:00 PM,103.411,4.415
124,03/16/27 04:00:00 PM,103.379,4.415
125,03/16/27 05:00:00 PM,103.331,4.415
126,03/16/27 06:00:00 PM,103.300,4.415
127,03/16/27 07:00:00 PM,103.300,4.415
128,03/16/27 08:00:00 PM,103.300,4.415
129,03/16/27 09:00:00 PM,103.300,4.415
130,03/16/27 10:00:00 PM,103.284,4.415
131,03/16/27 11:00:00 PM,103.284,4.415
132,03/17/27 12:00:00 AM,103.220,4.415
