"Plot Title: Site 4, ID 6, 22332699"
"#","Date Time, GMT-08:00","Abs Pres, kPa (LGR S/N: 22332699, SEN S/N: 22332699)","Temp, °C (LGR S/N: 22332699, SEN S/N: 22332699)","Coupler Detached (LGR S/N: 22332699)","Coupler Attached (LGR S/N: 22332699)","Stopped (LGR S/N: 22332699)","End Of File (LGR S/N: 22332699)"
1,02/27/26 04:00:00 PM,105.229,4.934,Logged,,,
2,02/27/26 05:00:00 PM,105.293,4.934,,,,
3,02/27/26 06:00:00 PM,105.372,4.934,,,,
4,02/27/26 07:00:00 PM,105.388,4.934,,,,
5,02/27/26 08:00:00 PM,105.388,4.934,,,,
6,02/27/26 09:00:00 PM,105.419,4.934,,,,
7,02/27/26 10:00:00 PM,105.435,4.934,,,,
8,02/27/26 11:00:00 PM,105.451,4.934,,,,
9,02/28/26 12:00:00 AM,105.435,4.934,,,,
10,02/28/26 01:00:00 AM,105.435,4.934,,,,
11,02/28/26 02:00:00 AM,105.451,4.934,,,,
12,02/28/26 03:00:00 AM,105.435,4.934,,,,
13,02/28/26 04:00:00 AM,105.372,4.934,,,,
14,02/28/26 05:00:00 AM,105.324,4.934,,,,
15,02/28/26 06:00:00 AM,105.324,4.934,,,,
16,02/28/26 07:00:00 AM,105.340,4.934,,,,
17,02/28/26 08:00:00 AM,105.356,4.934,,,,
18,02/28/26 09:00:00 AM,105.404,4.934,,,,
19,02/28/26 10:00:00 AM,105.388,4.934,,,,
20,02/28/26 11:00:00 AM,105.324,4.934,,,,
21,02/28/26 12:00:00 PM,105.309,4.934,,,,
22,02/28/26 01:00:00 PM,105.182,4.934,,,,
23,02/28/26 02:00:00 PM,105.150,4.934,,,,
24,02/28/26 03:00:00 PM,105.071,4.934,,,,
25,02/28/26 04:00:00 PM,105.055,4.934,,,,
26,02/28/26 05:00:00 PM,105.055,4.934,,,,
27,02/28/26 06:00:00 PM,105.087,4.934,,,,
28,02/28/26 07:00:00 PM,105.134,4.934,,,,
29,02/28/26 08:00:00 PM,105.134,4.934,,,,
30,02/28/26 09:00:00 PM,105.166,4.934,,,,
31,02/28/26 10:00:00 PM,105.198,4.934,,,,
32,02/28/26 11:00:00 PM,105.198,4.934,,,,
33,03/01/26 12:00:00 AM,105.213,4.934,,,,
34,03/01/26 01:00:00 AM,105.213,4.934,,,,
35,03/01/26 02:00:00 AM,105.198,4.934,,,,
36,03/01/26 03:00:00 AM,105.166,4.934,,,,
37,03/01/26 04:00:00 AM,105.166,4.934,,,,
38,03/01/26 05:00:00 AM,105.198,4.934,,,,
39,03/01/26 06:00:00 AM,105.213,4.934,,,,
40,03/01/26 07:00:00 AM,105.213,4.934,,,,
41,03/01/26 08:00:00 AM,105.229,4.934,,,,
42,03/01/26 09:00:00 AM,105.198,4.934,,,,
43,03/01/26 10:00:00 AM,105.182,4.934,,,,
44,03/01/26 11:00:00 AM,105.166,4.934,,,,
45,03/01/26 12:00:00 PM,105.134,4.934,,,,
46,03/01/26 01:00:00 PM,105.071,4.934,,,,
47,03/01/26 02:00:00 PM,104.992,4.934,,,,
48,03/01/26 03:00:00 PM,104.992,4.934,,,,
49,03/01/26 04:00:00 PM,104.976,4.934,,,,
50,03/01/26 05:00:00 PM,104.992,4.934,,,,
51,03/01/26 06:00:00 PM,105.008,4.934,,,,
52,03/01/26 07:00:00 PM,105.039,4.934,,,,
53,03/01/26 08:00:00 PM,105.087,4.934,,,,
54,03/01/26 09:00:00 PM,105.118,4.934,,,,
